"Principal tunas Atlantic","Europe","Other gears","12782","","11147","","12742","","15474","","13115","","14472","","14095","","16201","","13396","","10892","","10441","","10495","","8707","","5997","","6805","","7502","","3720","","6477","","4006","","4703","","3360","","2403","","2080","","1622","","1367","","1872","","1877","","2049","","1767","","2940","","1433","","1828","","3090","","3608","","6867","","8382","","7513","","8266","","12279","","12277","","9336","","10226","","13154","","13857","","13995","","12266","","12433","","14462","","13088","","20184","","15922","","13573","","11320","","10219","","7190","","11728","","9557","","7809","","6570","","7880","","4862",""
"Principal tunas Atlantic","Europe","Pole and line","4377","","6089","","6385","","11168","","15332","","13773","","14162","","30434","","32924","","32660","","34983","","37363","","43369","","56408","","50373","","55233","","44943","","52748","","46670","","46334","","42776","","50318","","38973","","37824","","51422","","43489","","39177","","40446","","41617","","36863","","37160","","35727","","38381","","39968","","39946","","48859","","47123","","54039","","54165","","49414","","52267","","47192","","48296","","47445","","50029","","56251","","51464","","44270","","42100","","36782","","28742","","24590","","27487","","31587","","36832","","39667","","46140","","36491","","30655","","27485","","36703",""
"Principal tunas Atlantic","Europe","Purse seine","2857","","7259","","15753","","11281","","13391","","14295","","5932","","7058","","4465","","3629","","4440","","9025","","9149","","3370","","10392","","11541","","17796","","21494","","33699","","34890","","42789","","58573","","77967","","76754","","114164","","110502","","132962","","154007","","151223","","134011","","155381","","183238","","185457","","170848","","126578","","132258","","143838","","138122","","140960","","144995","","183972","","216162","","180251","","205376","","192339","","170795","","156520","","130199","","127876","","130378","","127424","","124820","","119804","","133410","","114732","","85240","","72877","","66238","","83654","","102629","","104156",""
"Principal tunas Atlantic","Europe","Troll line","39623","","34149","","32397","","26242","","32729","","28299","","35398","","30028","","33945","","30796","","33072","","20907","","30943","","24625","","28058","","25544","","22791","","30669","","23993","","17923","","15706","","24029","","26517","","18723","","20958","","9556","","13922","","17400","","24243","","23426","","13585","","11140","","13080","","14156","","11751","","11389","","12062","","11762","","12071","","11262","","10967","","9207","","7674","","6708","","6399","","11038","","7141","","8446","","6192","","7059","","5358","","4565","","4242","","5421","","7660","","10501","","10424","","6115","","5237","","4440","","7016",""
"Principal tunas Atlantic","Oceania","Longline","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","1199","","2013","","2493","","1361","","1564","","1386","","1076",""
"Principal tunas Indian Ocean","-","Longline","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","203","","3016","","2845","","12725","","39064","","53957","","53376","","61396","","79406","","79470","","57383","","60944","","54996","","57395","","53609","","46791","","19930","","22716","","17513","","22966","","23794","","20736","","16269","","20101","","17728","","12204",""
"Principal tunas Indian Ocean","-","Purse seine","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","53","","241","","23","","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","1323","","17922","","20070","","18886","","19039","","22909","","18874","","32189","","33471","","35709","","51939","","61477","","79677","","66464","","75035","","74738","","99941","","107873","","79343","","64825","","89910","","49524","","29495","","12724","","5103","","7331","","6068","","0","-"
"Principal tunas Indian Ocean","Africa","Longline","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","17","","0","-","263","","386","","462","","809","","246","","244","","425","","179","","246","","184","","66","","127","","209","","44","","81","","33","","110","","159","","188","","456","","1424","","2469","","4568","","7251","","11439","","15465","","8192","","9012","","6521","","5895","","6231",""
"Principal tunas Indian Ocean","Africa","Other gears","200","","200","","100","","100","","100","","200","","200","","100","","100","","100","","100","","100","","100","","100","","100","","100","","150","","150","","200","","200","","1521","","1400","","1815","","1500","","1867","","1855","","2226","","2624","","1931","","1795","","1871","","2760","","2879","","2206","","2029","","2236","","2148","","1976","","2112","","3583","","3804","","3571","","1763","","1670","","2088","","1947","","1967","","2000","","1897","","1920","","2366","","2380","","2355","","2518","","2429","","2306","","2367","","2185","","2780","","2858","","2761",""
"Principal tunas Indian Ocean","Africa","Pole and line","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","5500","","11600","","1800","","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-"
"Principal tunas Indian Ocean","Africa","Purse seine","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","41","","1002","","1726","","2500","","2737","","3975","","3687","","2854","","6551","","6930","","8577","","6257","","12388","","9752","","9935","","7548","","5996","","2748","","12829","","23030","","31872","","25454","","42001","","50241","","73683","","83211","","87329","","79111","","49806","","56215","","68319","","75774",""
"Principal tunas Indian Ocean","Africa","Troll line","163","","173","","182","","193","","205","","215","","226","","237","","243","","258","","275","","286","","298","","309","","323","","335","","348","","435","","492","","541","","683","","794","","865","","981","","1085","","906","","883","","969","","994","","958","","1033","","1075","","1127","","1172","","1313","","1359","","1451","","1572","","1514","","5547","","5623","","5760","","7042","","7165","","8337","","8155","","8111","","8279","","8514","","7660","","8268","","7805","","8475","","8884","","9408","","9202","","9300","","9502","","12012","","12169","","12169",""
"Principal tunas Indian Ocean","Americas","Longline","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","4507","","2639","","1109","","1043","","1002","","904","","1151","","505","","228","","186",""
"Principal tunas Indian Ocean","Americas","Purse seine","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","3664","","20460","","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-"
"Principal tunas Indian Ocean","Asia","Longline","0","-","0","-","4043","","9538","","31699","","58374","","79620","","50691","","43616","","46284","","66905","","67526","","85561","","53079","","62453","","59493","","84886","","80541","","131591","","101749","","68049","","64967","","59688","","58210","","77205","","70371","","63402","","89685","","102066","","77435","","69539","","71775","","99686","","96991","","79583","","83152","","101602","","110069","","112001","","91325","","100456","","103373","","150271","","217358","","151342","","141071","","182113","","191031","","198445","","193052","","175633","","191197","","199410","","189173","","225785","","234063","","187686","","187928","","140141","","121264","","110064",""
